pokédex_number, name, form_symbol, species, type_1, type_2, ability_1, ability_2, ability_hidden, height_m, weight_kg, catch_rate, friendship, exp, male_percent, egg_cycles, growth_rate, egg_type_1, egg_type_2, hp, attack, defense, sp_attack, sp_defense, speed
109, Koffing, , Poison Gas, Poison, , Levitate, Neutralizing Gas, Stench, 0.6, 1, 190, 70, 68, 50, 20, Medium Fast, Amorphous, , 40, 65, 95, 60, 45, 35
110, Weezing, , Poison Gas, Poison, , Levitate, Neutralizing Gas, Stench, 1.2, 9.5, 60, 70, 172, 50, 20, Medium Fast, Amorphous, , 65, 90, 120, 85, 70, 60
110, Galarian Weezing, g, Poison Gas, Poison, Fairy, Levitate, Neutralizing Gas, Misty Surge, 3, 16, 60, 70, 172, , 20, Medium Fast, Amorphous, , 65, 90, 120, 85, 70, 60
111, Rhyhorn, , Spikes, Ground, Rock, Lightning Rod, Rock Head, Reckless, 1, 115, 120, 70, 69, 50, 20, Slow, Field, Monster, 80, 85, 95, 30, 30, 25
112, Rhydon, , Drill, Ground, Rock, Lightning Rod, Rock Head, Reckless, 1.9, 120, 60, 70, 170, 50, 20, Slow, Field, Monster, 105, 130, 120, 45, 45, 40
113, Chansey, , Egg, Normal, , Natural Cure, Serene Grace, Healer, 1.1, 34.6, 30, 140, 395, 0, 40, Fast, Fairy, , 250, 5, 5, 35, 105, 50
114, Tangela, , Vine, Grass, , Chlorophyll, Leaf Guard, Regenerator, 1, 35, 45, 70, 87, 50, 20, Medium Fast, Grass, , 65, 55, 115, 100, 40, 60
115, Kangaskhan, , Parent, Normal, , Early Bird, Scrappy, Inner Focus, 2.2, 80, 45, 70, 172, 0, 20, Medium Fast, Monster, , 105, 95, 80, 40, 80, 90
115, Mega Kangaskhan, m, Parent, Normal, , Parental Bond, , , 2.2, 100, 45, 70, 207, 0, 20, Medium Fast, Monster, , 105, 125, 100, 60, 100, 100
116, Horsea, , Dragon, Water, , Swift Swim, Sniper, Damp, 0.4, 8, 225, 70, 59, 50, 20, Medium Fast, Dragon, Water 1, 30, 40, 70, 70, 25, 60
117, Seadra, , Dragon, Water, , Poison Point, Sniper, Damp, 1.2, 25, 75, 70, 154, 50, 20, Medium Fast, Dragon, Water 1, 55, 65, 95, 95, 45, 85
118, Goldeen, , Goldfish, Water, , Swift Swim, Water Veil, Lightning Rod, 0.6, 15, 225, 70, 64, 50, 20, Medium Fast, Water 2, , 45, 67, 60, 35, 50, 63
119, Seaking, , Goldfish, Water, , Swift Swim, Water Veil, Lightning Rod, 1.3, 39, 60, 70, 158, 50, 20, Medium Fast, Water 2, , 80, 92, 65, 65, 80, 68
120, Staryu, , Star Shape, Water, , Illuminate, Natural Cure, Analytic, 0.8, 34.5, 225, 70, 68, , 20, Slow, Water 3, , 30, 45, 55, 70, 55, 85
121, Starmie, , Mysterious, Water, Psychic, Illuminate, Natural Cure, Analytic, 1.1, 80, 60, 70, 182, , 20, Slow, Water 3, , 60, 75, 85, 100, 85, 115
122, Mr. Mime, , Barrier, Psychic, Fairy, Soundproof, Filter, Technician, 1.3, 54.5, 45, 70, 161, 50, 25, Medium Fast, Human-Like, , 40, 45, 65, 100, 120, 90
122, Galarian Mr. Mime, g, Dancing, Psychic, Ice, Vital Spirit, Screen Cleaner, Ice Body, 1.4, 56.8, 45, 70, 161, 50, 25, Medium Fast, Human-Like, , 50, 65, 65, 90, 90, 100
123, Scyther, , Mantis, Bug, Flying, Swarm, Technician, Steadfast, 1.5, 56, 45, 70, 100, 50, 25, Medium Fast, Bug, , 70, 110, 80, 55, 80, 105
124, Jynx, , Human Shape, Ice, Psychic, Oblivious, Forewarn, Dry Skin, 1.4, 40.6, 45, 70, 159, 0, 25, Medium Fast, Human-Like, , 65, 50, 35, 115, 95, 95
125, Electabuzz, , Electric, Electric, , Static, , Vital Spirit, 1.1, 30, 45, 70, 172, 75, 25, Medium Fast, Human-Like, , 65, 83, 57, 95, 85, 105
126, Magmar, , Spitfire, Fire, , Flame Body, , Vital Spirit, 1.3, 44.5, 45, 70, 173, 75, 25, Medium Fast, Human-Like, , 65, 95, 57, 100, 85, 93
127, Pinsir, , Stag Beetle, Bug, , Hyper Cutter, Mold Breaker, Moxie, 1.5, 55, 45, 70, 175, 50, 25, Slow, Bug, , 65, 125, 100, 55, 70, 85
127, Mega Pinsir, m, Stag Beetle, Bug, Flying, Aerilate, , , 1.7, 59, 45, 70, 210, 50, 25, Slow, Bug, , 65, 155, 120, 65, 90, 105
128, Tauros, , Wild Bull, Normal, , Intimidate, Anger Point, Sheer Force, 1.4, 88.4, 45, 70, 172, 100, 20, Slow, Field, , 75, 100, 95, 40, 70, 110
128, Paldean Tauros, p, Wild Bull, Fighting, , Intimidate, Anger Point, Cud Chew, 1.4, 115, 45, 70, 172, 100, 20, Slow, Field, , 75, 110, 105, 30, 70, 100
128, Paldean Tauros Aqua Breed, a, Wild Bull, Fighting, Water, Intimidate, Anger Point, Cud Chew, 1.4, 110, 45, 70, 172, 100, 20, Slow, Field, , 75, 110, 105, 30, 70, 100
128, Paldean Tauros Blaze Breed, b, Wild Bull, Fighting, Fire, Intimidate, Anger Point, Cud Chew, 1.4, 85, 45, 70, 172, 100, 20, Slow, Field, , 75, 110, 105, 30, 70, 100
129, Magikarp, , Fish, Water, , Swift Swim, , Rattled, 0.9, 10, 255, 70, 40, 50, 5, Slow, Dragon, Water 2, 20, 10, 55, 15, 20, 80
130, Gyarados, , Atrocious, Water, Flying, Intimidate, , Moxie, 6.5, 235, 45, 70, 189, 50, 5, Slow, Dragon, Water 2, 95, 125, 79, 60, 100, 81
130, Mega Gyarados, m, Atrocious, Water, Dark, Mold Breaker, , , 6.5, 305, 45, 70, 224, 50, 5, Slow, Dragon, Water 2, 95, 155, 109, 70, 130, 81
131, Lapras, , Transport, Water, Ice, Water Absorb, Shell Armor, Hydration, 2.5, 220, 45, 70, 187, 50, 40, Slow, Monster, Water 1, 130, 85, 80, 85, 95, 60
132, Ditto, , Transform, Normal, , Limber, , Imposter, 0.3, 4, 35, 70, 101, , 20, Medium Fast, Ditto, , 48, 48, 48, 48, 48, 48
133, Eevee, , Evolution, Normal, , Run Away, Adaptability, Anticipation, 0.3, 6.5, 45, 70, 65, 87.5, 35, Medium Fast, Field, , 55, 55, 50, 45, 65, 55
133, Partner Eevee, , Evolution, Normal, , , , Anticipation, 0.3, 6.5, 45, 70, 65, 87.5, 35, Medium Fast, , , 65, 75, 70, 65, 85, 75
134, Vaporeon, , Bubble Jet, Water, , Water Absorb, , Hydration, 1, 29, 45, 70, 184, 87.5, 35, Medium Fast, Field, , 130, 65, 60, 110, 95, 65
135, Jolteon, , Lightning, Electric, , Volt Absorb, , Quick Feet, 0.8, 24.5, 45, 70, 184, 87.5, 35, Medium Fast, Field, , 65, 65, 60, 110, 95, 130
136, Flareon, , Flame, Fire, , Flash Fire, , Guts, 0.9, 25, 45, 70, 184, 87.5, 35, Medium Fast, Field, , 65, 130, 60, 95, 110, 65
137, Porygon, , Virtual, Normal, , Trace, Download, Analytic, 0.8, 36.5, 45, 70, 79, , 20, Medium Fast, Mineral, , 65, 60, 70, 85, 75, 40
138, Omanyte, , Spiral, Rock, Water, Swift Swim, Shell Armor, Weak Armor, 0.4, 7.5, 45, 70, 71, 87.5, 30, Medium Fast, Water 1, Water 3, 35, 40, 100, 90, 55, 35
139, Omastar, , Spiral, Rock, Water, Swift Swim, Shell Armor, Weak Armor, 1, 35, 45, 70, 173, 87.5, 30, Medium Fast, Water 1, Water 3, 70, 60, 125, 115, 70, 55
140, Kabuto, , Shellfish, Rock, Water, Swift Swim, Battle Armor, Weak Armor, 0.5, 11.5, 45, 70, 71, 87.5, 30, Medium Fast, Water 1, Water 3, 30, 80, 90, 55, 45, 55
141, Kabutops, , Shellfish, Rock, Water, Swift Swim, Battle Armor, Weak Armor, 1.3, 40.5, 45, 70, 173, 87.5, 30, Medium Fast, Water 1, Water 3, 60, 115, 105, 65, 70, 80
142, Aerodactyl, , Fossil, Rock, Flying, Rock Head, Pressure, Unnerve, 1.8, 59, 45, 70, 180, 87.5, 35, Slow, Flying, , 80, 105, 65, 60, 75, 130
142, Mega Aerodactyl, m, Fossil, Rock, Flying, Tough Claws, , , 2.1, 79, 45, 70, 215, 87.5, 35, Slow, Flying, , 80, 135, 85, 70, 95, 150
143, Snorlax, , Sleeping, Normal, , Immunity, Thick Fat, Gluttony, 2.1, 460, 25, 70, 189, 87.5, 40, Slow, Monster, , 160, 110, 65, 65, 110, 30
144, Articuno, , Freeze, Ice, Flying, Pressure, , Snow Cloak, 1.7, 55.4, 3, 35, 261, , 80, Slow, Undiscovered, , 90, 85, 100, 95, 125, 85
144, Galarian Articuno, g, Cruel, Psychic, Flying, Competitive, , , 1.7, 50.9, 3, 35, 261, , 120, Slow, Undiscovered, , 90, 85, 85, 125, 100, 95
145, Zapdos, , Electric, Electric, Flying, Pressure, , Static, 1.6, 52.6, 3, 35, 261, , 80, Slow, Undiscovered, , 90, 90, 85, 125, 90, 100
145, Galarian Zapdos, g, Strong Legs, Fighting, Flying, Defiant, , , 1.6, 58.2, 3, 35, 261, , 120, Slow, Undiscovered, , 90, 125, 90, 85, 90, 100
146, Moltres, , Flame, Fire, Flying, Pressure, , Flame Body, 2, 60, 3, 35, 261, , 80, Slow, Undiscovered, , 90, 100, 90, 125, 85, 90
146, Galarian Moltres, g, Malevolent, Dark, Flying, Berserk, , , 2, 66, 3, 35, 261, , 120, Slow, Undiscovered, , 90, 85, 90, 100, 125, 90
147, Dratini, , Dragon, Dragon, , Shed Skin, , Marvel Scale, 1.8, 3.3, 45, 35, 60, 50, 40, Slow, Dragon, Water 1, 41, 64, 45, 50, 50, 50
148, Dragonair, , Dragon, Dragon, , Shed Skin, , Marvel Scale, 4, 16.5, 45, 35, 147, 50, 40, Slow, Dragon, Water 1, 61, 84, 65, 70, 70, 70
149, Dragonite, , Dragon, Dragon, Flying, Inner Focus, , Multiscale, 2.2, 210, 45, 35, 270, 50, 40, Slow, Dragon, Water 1, 91, 134, 95, 100, 100, 80
150, Mewtwo, , Genetic, Psychic, , Pressure, , Unnerve, 2, 122, 3, 0, 306, , 120, Slow, Undiscovered, , 106, 110, 90, 154, 90, 130
150, Mega Mewtwo X, mx, Genetic, Psychic, Fighting, Steadfast, , , 2.3, 127, 3, 0, 351, , 120, Slow, Undiscovered, , 106, 190, 100, 154, 100, 130
150, Mega Mewtwo Y, my, Genetic, Psychic, , Insomnia, , , 1.5, 33, 3, 0, 351, , 120, Slow, Undiscovered, , 106, 150, 70, 194, 120, 140
151, Mew, , New Species, Psychic, , Synchronize, , , 0.4, 4, 45, 100, 270, , 120, Medium Slow, Undiscovered, , 100, 100, 100, 100, 100, 100
152, Chikorita, , Leaf, Grass, , Overgrow, , Leaf Guard, 0.9, 6.4, 45, 70, 64, 87.5, 20, Medium Slow, Grass, Monster, 45, 49, 65, 49, 65, 45
153, Bayleef, , Leaf, Grass, , Overgrow, , Leaf Guard, 1.2, 15.8, 45, 70, 142, 87.5, 20, Medium Slow, Grass, Monster, 60, 62, 80, 63, 80, 60
154, Meganium, , Herb, Grass, , Overgrow, , Leaf Guard, 1.8, 100.5, 45, 70, 236, 87.5, 20, Medium Slow, Grass, Monster, 80, 82, 100, 83, 100, 80
155, Cyndaquil, , Fire Mouse, Fire, , Blaze, , Flash Fire, 0.5, 7.9, 45, 70, 62, 87.5, 20, Medium Slow, Field, , 39, 52, 43, 60, 50, 65
156, Quilava, , Volcano, Fire, , Blaze, , Flash Fire, 0.9, 19, 45, 70, 142, 87.5, 20, Medium Slow, Field, , 58, 64, 58, 80, 65, 80
157, Typhlosion, , Volcano, Fire, , Blaze, , Flash Fire, 1.7, 79.5, 45, 70, 240, 87.5, 20, Medium Slow, Field, , 78, 84, 78, 109, 85, 100
157, Hisuian Typhlosion, h, Ghost Flame, Fire, Ghost, Blaze, , Frisk, 1.6, 69.8, 45, 70, 240, 87.5, 20, Medium Slow, Field, , 73, 84, 78, 119, 85, 95
158, Totodile, , Big Jaw, Water, , Torrent, , Sheer Force, 0.6, 9.5, 45, 70, 63, 87.5, 20, Medium Slow, Monster, Water 1, 50, 65, 64, 44, 48, 43
159, Croconaw, , Big Jaw, Water, , Torrent, , Sheer Force, 1.1, 25, 45, 70, 142, 87.5, 20, Medium Slow, Monster, Water 1, 65, 80, 80, 59, 63, 58
160, Feraligatr, , Big Jaw, Water, , Torrent, , Sheer Force, 2.3, 88.8, 45, 70, 239, 87.5, 20, Medium Slow, Monster, Water 1, 85, 105, 100, 79, 83, 78
161, Sentret, , Scout, Normal, , Run Away, Keen Eye, Frisk, 0.8, 6, 255, 70, 43, 50, 15, Medium Fast, Field, , 35, 46, 34, 35, 45, 20
162, Furret, , Long Body, Normal, , Run Away, Keen Eye, Frisk, 1.8, 32.5, 90, 70, 145, 50, 15, Medium Fast, Field, , 85, 76, 64, 45, 55, 90
163, Hoothoot, , Owl, Normal, Flying, Insomnia, Keen Eye, Tinted Lens, 0.7, 21.2, 255, 70, 52, 50, 15, Medium Fast, Flying, , 60, 30, 30, 36, 56, 50
164, Noctowl, , Owl, Normal, Flying, Insomnia, Keen Eye, Tinted Lens, 1.6, 40.8, 90, 70, 158, 50, 15, Medium Fast, Flying, , 100, 50, 50, 86, 96, 70
165, Ledyba, , Five Star, Bug, Flying, Swarm, Early Bird, Rattled, 1, 10.8, 255, 70, 53, 50, 15, Fast, Bug, , 40, 20, 30, 40, 80, 55
166, Ledian, , Five Star, Bug, Flying, Swarm, Early Bird, Iron Fist, 1.4, 35.6, 90, 70, 137, 50, 15, Fast, Bug, , 55, 35, 50, 55, 110, 85
167, Spinarak, , String Spit, Bug, Poison, Swarm, Insomnia, Sniper, 0.5, 8.5, 255, 70, 50, 50, 15, Fast, Bug, , 40, 60, 40, 40, 40, 30
168, Ariados, , Long Leg, Bug, Poison, Swarm, Insomnia, Sniper, 1.1, 33.5, 90, 70, 140, 50, 15, Fast, Bug, , 70, 90, 70, 60, 70, 40
169, Crobat, , Bat, Poison, Flying, Inner Focus, , Infiltrator, 1.8, 75, 90, 70, 241, 50, 15, Medium Fast, Flying, , 85, 90, 80, 70, 80, 130
170, Chinchou, , Angler, Water, Electric, Volt Absorb, Illuminate, Water Absorb, 0.5, 12, 190, 70, 66, 50, 20, Slow, Water 2, , 75, 38, 38, 56, 56, 67
171, Lanturn, , Light, Water, Electric, Volt Absorb, Illuminate, Water Absorb, 1.2, 22.5, 75, 70, 161, 50, 20, Slow, Water 2, , 125, 58, 58, 76, 76, 67
172, Pichu, , Tiny Mouse, Electric, , Static, , Lightning Rod, 0.3, 2, 190, 70, 41, 50, 10, Medium Fast, Undiscovered, , 20, 40, 15, 35, 35, 60
173, Cleffa, , Star Shape, Fairy, , Cute Charm, Magic Guard, Friend Guard, 0.3, 3, 150, 140, 44, 25, 10, Fast, Undiscovered, , 50, 25, 28, 45, 55, 15
174, Igglybuff, , Balloon, Normal, Fairy, Cute Charm, Competitive, Friend Guard, 0.3, 1, 170, 70, 42, 25, 10, Fast, Undiscovered, , 90, 30, 15, 40, 20, 15
175, Togepi, , Spike Ball, Fairy, , Hustle, Serene Grace, Super Luck, 0.3, 1.5, 190, 70, 49, 87.5, 10, Fast, Undiscovered, , 35, 20, 65, 40, 65, 20
176, Togetic, , Happiness, Fairy, Flying, Hustle, Serene Grace, Super Luck, 0.6, 3.2, 75, 70, 142, 87.5, 10, Fast, Fairy, Flying, 55, 40, 85, 80, 105, 40
177, Natu, , Tiny Bird, Psychic, Flying, Synchronize, Early Bird, Magic Bounce, 0.2, 2, 190, 70, 64, 50, 20, Medium Fast, Flying, , 40, 50, 45, 70, 45, 70
178, Xatu, , Mystic, Psychic, Flying, Synchronize, Early Bird, Magic Bounce, 1.5, 15, 75, 70, 165, 50, 20, Medium Fast, Flying, , 65, 75, 70, 95, 70, 95
179, Mareep, , Wool, Electric, , Static, , Plus, 0.6, 7.8, 235, 70, 56, 50, 20, Medium Slow, Field, Monster, 55, 40, 40, 65, 45, 35
180, Flaaffy, , Wool, Electric, , Static, , Plus, 0.8, 13.3, 120, 70, 128, 50, 20, Medium Slow, Field, Monster, 70, 55, 55, 80, 60, 45
181, Ampharos, , Light, Electric, , Static, , Plus, 1.4, 61.5, 45, 70, 230, 50, 20, Medium Slow, Field, Monster, 90, 75, 85, 115, 90, 55
181, Mega Ampharos, m, Light, Electric, Dragon, Mold Breaker, , , 1.4, 61.5, 45, 70, 275, 50, 20, Medium Slow, Field, Monster, 90, 95, 105, 165, 110, 45
182, Bellossom, , Flower, Grass, , Chlorophyll, , Healer, 0.4, 5.8, 45, 70, 221, 50, 20, Medium Slow, Grass, , 75, 80, 95, 90, 100, 50
183, Marill, , Aqua Mouse, Water, Fairy, Thick Fat, Huge Power, Sap Sipper, 0.4, 8.5, 190, 70, 88, 50, 10, Fast, Fairy, Water 1, 70, 20, 50, 20, 50, 40
184, Azumarill, , Aqua Rabbit, Water, Fairy, Thick Fat, Huge Power, Sap Sipper, 0.8, 28.5, 75, 70, 189, 50, 10, Fast, Fairy, Water 1, 100, 50, 80, 60, 80, 50
185, Sudowoodo, , Imitation, Rock, , Sturdy, Rock Head, Rattled, 1.2, 38, 65, 70, 144, 50, 20, Medium Fast, Mineral, , 70, 100, 115, 30, 65, 30
186, Politoed, , Frog, Water, , Water Absorb, Damp, Drizzle, 1.1, 33.9, 45, 70, 225, 50, 20, Medium Slow, Water 1, , 90, 75, 75, 90, 100, 70
187, Hoppip, , Cottonweed, Grass, Flying, Chlorophyll, Leaf Guard, Infiltrator, 0.4, 0.5, 255, 70, 50, 50, 20, Medium Slow, Fairy, Grass, 35, 35, 40, 35, 55, 50
188, Skiploom, , Cottonweed, Grass, Flying, Chlorophyll, Leaf Guard, Infiltrator, 0.6, 1, 120, 70, 119, 50, 20, Medium Slow, Fairy, Grass, 55, 45, 50, 45, 65, 80
189, Jumpluff, , Cottonweed, Grass, Flying, Chlorophyll, Leaf Guard, Infiltrator, 0.8, 3, 45, 70, 207, 50, 20, Medium Slow, Fairy, Grass, 75, 55, 70, 55, 95, 110
190, Aipom, , Long Tail, Normal, , Run Away, Pickup, Skill Link, 0.8, 11.5, 45, 70, 72, 50, 20, Fast, Field, , 55, 70, 55, 40, 55, 85
191, Sunkern, , Seed, Grass, , Chlorophyll, Solar Power, Early Bird, 0.3, 1.8, 235, 70, 36, 50, 20, Medium Slow, Grass, , 30, 30, 30, 30, 30, 30
192, Sunflora, , Sun, Grass, , Chlorophyll, Solar Power, Early Bird, 0.8, 8.5, 120, 70, 149, 50, 20, Medium Slow, Grass, , 75, 75, 55, 105, 85, 30
193, Yanma, , Clear Wing, Bug, Flying, Speed Boost, Compound Eyes, Frisk, 1.2, 38, 75, 70, 78, 50, 20, Medium Fast, Bug, , 65, 65, 45, 75, 45, 95
194, Wooper, , Water Fish, Water, Ground, Damp, Water Absorb, Unaware, 0.4, 8.5, 255, 70, 42, 50, 20, Medium Fast, Field, Water 1, 55, 45, 45, 25, 25, 15
194, Paldean Wooper, p, Water Fish, Poison, Ground, Poison Point, Water Absorb, Unaware, 0.4, 8.5, 255, 70, 42, 50, 20, Medium Fast, Field, Water 1, 55, 45, 45, 25, 25, 15
195, Quagsire, , Water Fish, Water, Ground, Damp, Water Absorb, Unaware, 1.4, 75, 90, 70, 151, 50, 20, Medium Fast, Field, Water 1, 95, 85, 85, 65, 65, 35
196, Espeon, , Sun, Psychic, , Synchronize, , Magic Bounce, 0.9, 26.5, 45, 70, 184, 87.5, 35, Medium Fast, Field, , 65, 65, 60, 130, 95, 110
197, Umbreon, , Moonlight, Dark, , Synchronize, , Inner Focus, 1, 27, 45, 35, 184, 87.5, 35, Medium Fast, Field, , 95, 65, 110, 60, 130, 65
198, Murkrow, , Darkness, Dark, Flying, Insomnia, Super Luck, Prankster, 0.5, 2.1, 30, 35, 81, 50, 20, Medium Slow, Flying, , 60, 85, 42, 85, 42, 91
199, Slowking, , Royal, Water, Psychic, Oblivious, Own Tempo, Regenerator, 2, 79.5, 70, 70, 172, 50, 20, Medium Fast, Monster, Water 1, 95, 75, 80, 100, 110, 30
199, Galarian Slowking, g, Hexpert, Poison, Psychic, Curious Medicine, Own Tempo, Regenerator, 1.8, 79.5, 70, 70, 172, 50, 20, Medium Fast, Monster, Water 1, 95, 65, 80, 110, 110, 30
200, Misdreavus, , Screech, Ghost, , Levitate, , , 0.7, 1, 45, 35, 87, 50, 25, Fast, Amorphous, , 60, 60, 60, 85, 85, 85
201, Unown, ~b~c~d~e~f~g~h~i~j~k~l~m~n~o~p~q~r~s~t~u~v~w~x~y~z~!~qm, Symbol, Psychic, , Levitate, , , 0.5, 5, 225, 70, 118, , 40, Medium Fast, Undiscovered, , 48, 72, 48, 72, 48, 48
202, Wobbuffet, , Patient, Psychic, , Shadow Tag, , Telepathy, 1.3, 28.5, 45, 70, 142, 50, 20, Medium Fast, Amorphous, , 190, 33, 58, 33, 58, 33
203, Girafarig, , Long Neck, Normal, Psychic, Inner Focus, Early Bird, Sap Sipper, 1.5, 41.5, 60, 70, 159, 50, 20, Medium Fast, Field, , 70, 80, 65, 90, 65, 85
204, Pineco, , Bagworm, Bug, , Sturdy, , Overcoat, 0.6, 7.2, 190, 70, 58, 50, 20, Medium Fast, Bug, , 50, 65, 90, 35, 35, 15
205, Forretress, , Bagworm, Bug, Steel, Sturdy, , Overcoat, 1.2, 125.8, 75, 70, 163, 50, 20, Medium Fast, Bug, , 75, 90, 140, 60, 60, 40
206, Dunsparce, , Land Snake, Normal, , Serene Grace, Run Away, Rattled, 1.5, 14, 190, 70, 145, 50, 20, Medium Fast, Field, , 100, 70, 70, 65, 65, 45
207, Gligar, , FlyScorpion, Ground, Flying, Hyper Cutter, Sand Veil, Immunity, 1.1, 64.8, 60, 70, 86, 50, 20, Medium Slow, Bug, , 65, 75, 105, 35, 65, 85
208, Steelix, , Iron Snake, Steel, Ground, Rock Head, Sturdy, Sheer Force, 9.2, 400, 25, 70, 179, 50, 25, Medium Fast, Mineral, , 75, 85, 200, 55, 65, 30
208, Mega Steelix, m, Iron Snake, Steel, Ground, Sand Force, , , 10.5, 740, 25, 70, 214, 50, 25, Medium Fast, Mineral, , 75, 125, 230, 55, 95, 30
209, Snubbull, , Fairy, Fairy, , Intimidate, Run Away, Rattled, 0.6, 7.8, 190, 70, 60, 25, 20, Fast, Fairy, Field, 60, 80, 50, 40, 40, 30
210, Granbull, , Fairy, Fairy, , Intimidate, Quick Feet, Rattled, 1.4, 48.7, 75, 70, 158, 25, 20, Fast, Fairy, Field, 90, 120, 75, 60, 60, 45
211, Qwilfish, , Balloon, Water, Poison, Poison Point, Swift Swim, Intimidate, 0.5, 3.9, 45, 70, 88, 50, 20, Medium Fast, Water 2, , 65, 95, 85, 55, 55, 85
211, Hisuian Qwilfish, h, Balloon, Dark, Poison, Poison Point, Swift Swim, Intimidate, 0.5, 3.9, 45, 70, 88, 50, 20, Medium Fast, Water 2, , 65, 95, 85, 55, 55, 85
212, Scizor, , Pincer, Bug, Steel, Swarm, Technician, Light Metal, 1.8, 118, 25, 70, 175, 50, 25, Medium Fast, Bug, , 70, 130, 100, 55, 80, 65
212, Mega Scizor, m, Pincer, Bug, Steel, Technician, , , 2, 125, 25, 70, 210, 50, 25, Medium Fast, Bug, , 70, 150, 140, 65, 100, 75
213, Shuckle, , Mold, Bug, Rock, Sturdy, Gluttony, Contrary, 0.6, 20.5, 190, 70, 177, 50, 20, Medium Slow, Bug, , 20, 10, 230, 10, 230, 5
214, Heracross, , Single Horn, Bug, Fighting, Swarm, Guts, Moxie, 1.5, 54, 45, 70, 175, 50, 25, Slow, Bug, , 80, 125, 75, 40, 95, 85
214, Mega Heracross, m, Single Horn, Bug, Fighting, Skill Link, , , 1.7, 62.5, 45, 70, 210, 50, 25, Slow, Bug, , 80, 185, 115, 40, 105, 75
215, Sneasel, , Sharp Claw, Dark, Ice, Inner Focus, Keen Eye, Pickpocket, 0.9, 28, 60, 35, 86, 50, 20, Medium Slow, Field, , 55, 95, 55, 35, 75, 115
215, Hisuian Sneasel, h, Sharp Claw, Fighting, Poison, Inner Focus, Keen Eye, Pickpocket, 0.9, 27, 60, 35, 86, 50, 20, Medium Slow, Field, , 55, 95, 55, 35, 75, 115
216, Teddiursa, , Little Bear, Normal, , Pickup, Quick Feet, Honey Gather, 0.6, 8.8, 120, 70, 66, 50, 20, Medium Fast, Field, , 60, 80, 50, 50, 50, 40
217, Ursaring, , Hibernator, Normal, , Guts, Quick Feet, Unnerve, 1.8, 125.8, 60, 70, 175, 50, 20, Medium Fast, Field, , 90, 130, 75, 75, 75, 55
218, Slugma, , Lava, Fire, , Magma Armor, Flame Body, Weak Armor, 0.7, 35, 190, 70, 50, 50, 20, Medium Fast, Amorphous, , 40, 40, 40, 70, 40, 20
219, Magcargo, , Lava, Fire, Rock, Magma Armor, Flame Body, Weak Armor, 0.8, 55, 75, 70, 151, 50, 20, Medium Fast, Amorphous, , 60, 50, 120, 90, 80, 30
220, Swinub, , Pig, Ice, Ground, Oblivious, Snow Cloak, Thick Fat, 0.4, 6.5, 225, 70, 50, 50, 20, Slow, Field, , 50, 50, 40, 30, 30, 50
221, Piloswine, , Swine, Ice, Ground, Oblivious, Snow Cloak, Thick Fat, 1.1, 55.8, 75, 70, 158, 50, 20, Slow, Field, , 100, 100, 80, 60, 60, 50
222, Corsola, , Coral, Water, Rock, Hustle, Natural Cure, Regenerator, 0.6, 5, 60, 70, 144, 25, 20, Fast, Water 1, Water 3, 65, 55, 95, 65, 95, 35
222, Galarian Corsola, g, Coral, Ghost, , Weak Armor, , Cursed Body, 0.6, 0.5, 60, 70, 144, , 20, Fast, Water 1, Water 3, 60, 55, 100, 65, 100, 30
223, Remoraid, , Jet, Water, , Hustle, Sniper, Moody, 0.6, 12, 190, 70, 60, 50, 20, Medium Fast, Water 1, Water 2, 35, 65, 35, 65, 35, 65
224, Octillery, , Jet, Water, , Suction Cups, Sniper, Moody, 0.9, 28.5, 75, 70, 168, 50, 20, Medium Fast, Water 1, Water 2, 75, 105, 75, 105, 75, 45
225, Delibird, , Delivery, Ice, Flying, Vital Spirit, Hustle, Insomnia, 0.9, 16, 45, 70, 116, 50, 20, Fast, Field, Water 1, 45, 55, 45, 65, 45, 75
226, Mantine, , Kite, Water, Flying, Swift Swim, Water Absorb, Water Veil, 2.1, 220, 25, 70, 170, 50, 25, Slow, Water 1, , 85, 40, 70, 80, 140, 70
227, Skarmory, , Armor Bird, Steel, Flying, Keen Eye, Sturdy, Weak Armor, 1.7, 50.5, 25, 70, 163, 50, 25, Slow, Flying, , 65, 80, 140, 40, 70, 70
228, Houndour, , Dark, Dark, Fire, Early Bird, Flash Fire, Unnerve, 0.6, 10.8, 120, 35, 66, 50, 20, Slow, Field, , 45, 60, 30, 80, 50, 65
229, Houndoom, , Dark, Dark, Fire, Early Bird, Flash Fire, Unnerve, 1.4, 35, 45, 35, 175, 50, 20, Slow, Field, , 75, 90, 50, 110, 80, 95
229, Mega Houndoom, m, Dark, Dark, Fire, Solar Power, , , 1.9, 49.5, 45, 35, 210, 50, 20, Slow, Field, , 75, 90, 90, 140, 90, 115
230, Kingdra, , Dragon, Water, Dragon, Swift Swim, Sniper, Damp, 1.8, 152, 45, 70, 243, 50, 20, Medium Fast, Dragon, Water 1, 75, 95, 95, 95, 95, 85
231, Phanpy, , Long Nose, Ground, , Pickup, , Sand Veil, 0.5, 33.5, 120, 70, 66, 50, 20, Medium Fast, Field, , 90, 60, 60, 40, 40, 40
232, Donphan, , Armor, Ground, , Sturdy, , Sand Veil, 1.1, 120, 60, 70, 175, 50, 20, Medium Fast, Field, , 90, 120, 120, 60, 60, 50
